sentence1,sentence2,label
Со своей женой Холли Оливере он был двое детей: дочь Натали и сын Хантер.,"У него было двое детей с женой Натали: дочь, Холли Оливер, и сын, Хантер.",1
"Родившийся в Кайе, с 1977 по 1982 год учился в Национальной академии изобразительных искусств Сенегала. В течение 13 лет жил в Монреале (Квебек).","Родившись в Койе, он учился в Национальной академии изобразительных искусств Сенегала с 1977 по 1982 г. В течение 13 лет жил в Квебеке (Монреале).",1
На зимних Олимпийских играх 1936 года в Гармиш-Партенкирхене Сольдини финишировал десятым в соревновании четверок и 12-м в соревновании четверок.,На зимних Олимпийских играх 1936 года в Гармиш-Партенкирхене Сольдини финишировал 12-м в состязаниях четверок и десятым в соревнованиях двоек.,0
"Пираты освободили корабль, захваченный в Гвинейском заливе.",Пираты освободили захваченное у берегов Камеруна судно.,1
В чем главное отличие пассивного радара наземного базирования от пассивного радара воздушного базирования?,Какое основное отличие от воздушного радара наземного базирования от пассивного радара?,1
Станция была открыта в 1845 году как пересадочный узел епископом Окландом (Auckland) и Веардейл Рейлуэй (Weardale Railway).,Станция была открыта как развязка в 1845 году епископом Ауклендом и Weardale Railway.,1
Как отправить 10кг продуктов питания (расфасованных и опечатанных) из Индии в Австралию? Какая компания-курьер наиболее надежная и разумная?,Как отправлять из Индии в Австралию 10 кг еды (запечатанной и вакуумной)? Какие курьерские компании наиболее надёжны и рациональны?,1
"Сколько стоил билет Concorde из Лондона в Нью-Йорк обратно в то время, когда они летали?",Сколько стоил билет Concorde из Нью-Йорка в Лондон назад в момент их перелета?,1
Кто самый сильный и величайший вояка во всей Махабхарате?,Кто является самым сильным и самым великим воюющим во всей Махабхарате?,1
СМИ: Над Ла-Маншем исчез с радаров военно-транспортный самолет ВВС США,«Исчезнувший» над Ла-Маншем самолет ВВС США приземлился в Британии,0
"В сентябре 1798 года Дороти, Колеридж и Вордсворт отправились в Германию, чтобы изучить близлежащие аранжировки, но это оказалось трудным делом.","В сентябре 1798 года Дороти, Колеридж и Вордсворт поехали в Германию, чтобы изучить близкие условия жизни, но это оказалось трудным делом.",0
Владельца рухнувшего в Бангладеш здания поймали на границе с Индией.,Арестован хозяин рухнувшего в Бангладеш здания.,0
Почему канадские и американские водители проявляют меньшую сдержанность по сравнению с британскими водителями?,Почему британские водители проявляют меньшую сдержанность по сравнению с канадскими и американскими водителями?,0
"Он остался в Уэльсе после 1815 года, когда умерла его жена, но со снижением его здоровья он вернулся жить в Лондон в 1825 году.","Он остался в Лондоне после 1815 года, когда умерла его жена, но со снижением его здоровья он вернулся жить в Уэльс в 1825 году.",0
"Синдзо Абэ в письме президенту РФ объяснил, почему не приедет на 9 мая",В письме Путину японский премьер объяснил причины отказа приехать в Москву 9 Мая,1
Парк расположен примерно в полутора часах к югу от Сан-Франциско или в пяти часов к северу от Лос-Анджелеса.,Парк расположен примерно в полутора часах к северу от Лос-Анджелеса или в пяти часам к югу от Сан-Франциско.,0
"Экс-министр печати Лесин назначен гендиректором холдинга ""Газпром-Медиа"".",Министр не для печати.,0
"North Attleborough, обычно называемый North Attleboro, - город в округе Бристоль, штат Массачусетс, Соединенные Штаты Америки.","Норт-Эттлборо, часто называют Норт Эттлборо (North Attleborough) - город в округе Бристоль, Массачусетс, Соединенные Штаты Америки.",1
"Считает ли Берни Сандерс, что Хилари Клинтон лично коррумпирована?","Считает ли Хилари Клинтон, что Берни Сандерс лично коррумпирован?",0
Чемпионка России по пауэрлифтингу получила 7 лет за убийство.,Чемпионка России по пауэрлифтингу приговорена к семи годам за убийство.,1
"Водитель автобуса, столкнувшегося с поездом в Ленобласти, задержан","Водитель автобуса, попавшего под поезд в Ленобласти, был трезв",0
Путин: исполнение Минска-2 восстановит политическое поле на Украине,Классовая борьба на полях Украины,0
Памятные монеты в честь рождения принцессы будут отчеканены в Британии,В честь новорожденной британской принцессы отчеканят монеты,1
"Виктора Ющенко исключили из партии ""Наша Украина"".",Киевская организация «Нашей Украины» исключила Ющенко из партии.,1
"На площадке две сцены, основная (вместимостью 300 человек) и небольшая (вместимостью 1100 человек).",У площадки есть две сцены - малая (вмещает 300 человек) и основная (вмещает 1100 человек).,0
ЦИК Грузии подсчитал 100% бюллетеней: победа за Г.Маргвелашвили.,ЦИК Грузии подсчитал 100 процентов бюллетеней.,0
Двое пропавших в Непале российских альпинистов вышли на связь,Более 40 россиян до сих пор не вышли на связь в Непале,0
"Дэхем когда-то был в Уилтшире, но в 1895 году переехал в Гемпшир.","Дэхем когда-то был в Гэмпшире, но в 1895 году был переведен в Уилтшир.",0
Россельхознадзор обеспокоен нелегальным ввозом в РФ рыбы из Казахстана,Россельхознадзор предотвратил нелегальный ввоз рыбы из Казахстана,0
СМИ: семь человек погибли в Индии после землетрясения в Непале,"Более 1,5 тысячи человек погибли в результате землетрясения в Непале",0
"Каролин Возняцки завоевала титул, победив в финале Веру Звонареву со счетом 6: 3, 3: 6, 6-3.","Каролина Возняцки завоевала титул, обыграв в финале Веру Звонареву - 6: 3, 3: 6, 6: 3.",1
"Хай был старшим сыном Джорджа Хэя, восьмого графа Кулла, и Абигайла, дочери Роберта Харли, первого графа Оксфорда и графа Морли.","Хай был старшим сыном Роберта Харли, 8-го графа Квилл, и Абигайл, дочери Джорджа Хэя, 1-го графа Оксфорда и графа Морт.",0
В авторитетном рейтинге THE остался один вуз из России.,В рейтинге THE остался один российский вуз.,1
Тройлит представляет собой редкий сульфидный минерал железной руды с простыми формулами FeS.,Троилит - простая железная сульфидная минералка с редкой формулой FeS.,1
Тренером теннисистки Анастасии Павлюченковой стала Мартина Хингис.,Мартина Хингис стала личным тренером Анастасии Павлюченковой.,1
От транссексуалов к трансжирам: депутат В.Милонов объявил войну фастфуду.,Обвал расходов на оплату труда в США стал максимальным с 1947 года.,0
"Что, если бы Барак Обама выступил против Дональда Трампа в ходе президентских выборов 2012 года?",Что если бы Дональд Трамп стоял за Барака Обаму на президентских выборах 2012 года?,0
Премьер Украины заявил об угрозах в адрес своей семьи.,Премьер-министр Украины заявил об угрозах в адрес его семьи.,1
В московской подземке зарезали пассажира.,В московском метро зарезали пассажира.,1
Россияне потеряли интерес к бизнесу.,Жалобу на Евросоюз выловят в Мавритании.,0
"Уволена вся редакция сайта журнала ""Большой город"".",Уволена вся редакция сайта «Большого города».,1
"Итальянская Generali удвоит долю в ""Ингосстрахе"".","Итальянцы удвоят свою долю в ""Ингосстрахе"".",1
За что Джастин Бибер не ненавидит Селену Гомес?,Почему не Селена Гомес ненавидит Джастина Бибера?,0
На летних Паралимпийских играх 2000 года страну представляли 12 спортсменов-женщин и 31 спортсмен-мужчина.,На летних Паралимпиадах 2000 года страну представляли 12 спортсменок и 31 спортсмен мужского пола.,1
Следствие по делу Анатолия Сердюкова завершено.,Анатолий Сердюков в делах Минобороны.,0
"Движение ""Чилийская новая песня"" стимулировалось в конце 1950-х и начале 1960-х. Возобновился интерес к традиционной чилийской музыке и фольклору.",Движение Чилианской новой песни было подстегнуто возрождением интереса к традиционной чилийской музыке и фольклору в конце 50-х и начале 60-х годов.,1
"Николай Давыденко в финале победил Марата Сафина 6: 4, 5: 7, 6: 4.","В финальном матче Николай Давыденко выиграл со счетом 6: 4, 5: 7, 6: 4 у Марата Сафина.",1
Есть простые пиластры на второй и третьей опоре и двойные пиластры на других опорах.,"На втором и третьем столбе расположены простые пиластера, а на других столбах - двойные пиластер.",1
Нравятся ли пакистанцам турецкие люди?,Нравятся ли турецкому народу пакистанцы?,0
"Гибриды, однако, всегда мужского пола и, кажется, бесплодны.","Гибриды, однако, всегда бесплодны и, кажется, мужского пола.",0
Сезон 1990 National Football League of South Australia был 110-м сезоном австралийского футбольного соревнования по высшим правилам в Южной Австралии.,Сезон Южной австралийской национальной футбольной лиги 1990 года стал 110-м сезоном высших австралийских соревнований по футболу по правилам игры в Южной Австралии.,1
"Действительно ли частные школы намного лучше, чем государственные школы?","Действительно ли государственные школы намного лучше, чем частные школы?",0
"В 1911 году ратуша была воссоздана, в 1945-м частично разрушена, а впоследствии воссоздана в 1960-х годах.","В 1911 году ратуша была восстановлена, частично разрушена в 1945 году и восстановлена в 1960-е годы.",1
Скончалась балерина Майя Плисецкая,Умерла Майя Плисецкая,1
Школа относится к Джефферсоновскому району VHSL (Virginia High School League) Region II.,Школа входит во II окружной регион Джефферсон Высшей школы лиги Виргинии (VHSL).,1
"Глав Газпрома и ""Роснефти"" обяжут отказаться от счетов за границей.",Кремль приказал главам «Газпрома» и «Роснефти» отказаться от зарубежных счетов.,1
"Джанет Ллойд вышла замуж за Эйлиффа в 1963 году, и у них было двое детей.","В 1963 году Айлиф женился на Джанет Ллойд, и у него двое детей.",1
Вы могли бы выделить две разницы между реальными изображениями и виртуальными изображением?,Можете ли Вы заявить два различия между виртуальными и реальными изображениями?,1
"После ухода из семьи Спир в 1968 году Спир перестала петь и переехала в Нэшвилл, а в 1968 году, после смерти мужа, вернулась в Огайо.","После выхода в отставку из семьи Спир в 1956 году Спир перестала петь и перебралась в Нэшвилл в 1968 году, а после смерти мужа вернулась в Огайо.",0
"Какая бизнес-идея онлайн, по вашему мнению, может стать хорошей возможностью для африканского рынка?","Какая африканская деловая возможность, на ваш взгляд, могла бы стать хорошей идеей для онлайн-рынка?",0
Река Аскунсу - это приток реки Суцаава в Румынии.,Река Суцаава - приток реки Аскунсу в Румынии.,0
«Газпрому» посоветовали изучить «50 оттенков серого» для переговоров с ЕС,Руководству «Газпрома» посоветовали почитать «50 оттенков серого»,1
"Купер родился в Лонг-Бич, штат Калифорния, и всю свою жизнь жил в Лос-Анджелесе, Калифорния.","Купер родился в Лос-Анджелесе, штат Калифорния, и всю свою жизнь живет в Лонг-Бич, Калифорния.",0
Северокорейский лидер впервые за 19 лет поздравил граждан с Новым годом.,Лидер КНДР впервые за 19 лет поздравил сограждан с Новым годом.,1
"В 2015 году Джон Мойер, Брайан Тичи и Скотт Хэттон стали членами группы после ухода Руди Сарзо и Роберта Сарзо.","В 2015 году Джон Мойер, Брайан Тичи и Скотт Хэттон стали членами группы после ухода Руди Сарзо и Роберта Сарзо.",1
"Альбом содержит 16 треков, записанных во время двух выступлений в мае 2002 года, одно в Мемфисе, Теннесси, а другое в Чикаго, штат Иллинойс.","В альбом вошли 16 треков, записанных на двух выступлениях в мае 2002 года, один в Чикаго, штат Иллинойс, а другой в Мемфисе, штат Теннесси.",1
Главком НАТО в Европе: альянс больше не считает Россию партнером,НАТО перестало считать Россию своим партнером,1
Пожар в общежитии в Москве мог произойти из-за короткого замыкания,Число пострадавших при пожаре в общежитии в Москве возросло до 40,0
"Почему существует ограничение на максимальный возраст для голосования, но нет ограничения на минимальный возраст?","Почему существует минимальный возрастной предел для голосования, но нет максимального возрастного предела?",0
Правительство отказалось освобождать предпринимателей-новичков от налогов.,Белоруссия ответила «Уралкалию» уголовным делом.,0
Памятник детям блокадного Ленинграда открылся в Ереване,В Ереване открылся памятник детям блокадного Ленинграда,1
"Чарльз Уильям Дайкконд, 1940 года, и Чарльз Генри Дайкконена, 1902 года рождения, были родителями архитектора Анне Александр.","Энн Александер, 1940 года, и Чарльз Генри Диккенс 1902 года были родителями архитектора Чарлза Уильяма Дикса.",0
Дворник лопатой сломал московскому школьнику челюсть.,Московский дворник сломал школьнику челюсть за брошенный снежок.,1
Они встречаются в Соединенных Штатах и на Маршалловых островах.,Они встречаются на Маршалловых Островах и в США.,1
Жерар Депардье прибыл в Сочи за российским паспортом.,Депардье прилетел в Сочи за российским паспортом.,1
Он выиграл 22-й чемпионат мира по памяти в декабре 2013 года и 24-й чемпионат мира по памяти в декабре 2014 года.,Он выиграл 24-й чемпионат мира памяти в декабре 2013 года и 22-й чемпионат мира памяти в декабре 2014 года.,0
"В городе есть библиотека, несколько начальных школ и средние школы.","В городе есть библиотека, несколько школ, начальная и средняя.",1
Дрозденко за год потерял более одного миллиона рублей дохода,Глава Забайкалья за год увеличил свой доход на 23 миллиона рублей,0
В московском метро появится свой телеканал.,Московское метро запускает собственный телеканал.,1
"Альбом записан в шести различных сеансах на звуковых студиях Santa Monica Sound Records в Санта-Монике, штат Калифорния, и Westlake Records в Лос-Анджелесе.","Альбом был записан в шесть различных сессий как в компании Santa Monica Sound Records в Санта-Монике, Калифорния, так и в студии Westlake Records в Лос-Анджелесе.",1
Двое боевиков и их пособник остаются в блокированном доме в Махачкале,Спецназ в Махачкале начал штурм дома с боевиками,0
Аваков: ситуация с пожаром вокруг Чернобыльской АЭС обострилась,Лесной пожар двинулся в направлении Чернобыльской АЭС,0
"Хьюз, родившийся в Уэльсе, основал два разных конклава в городе, каждое воскресенье проповедовая на английском языке одну конклав, а на валлийском - другую.","Хьюз, родившийся в Уэльсе, основал в городе два отдельных прихода и каждое воскресенье проповедовал валлийские проповеди одному и английские проповеди другому.",1
"Что означает загрузка, когда мы используем что-то, загружая торрент, и почему она продолжается даже после завершения загрузки?","Что означает загрузка, когда мы что-то загружаем, используя торрент, и почему она продолжается даже после завершения загрузки?",1
В Таиланде при крушении парома погибли трое россиян.,Посольство РФ в Таиланде опровергло гибель россиян при крушении парома.,0
Россияне стали брать ипотеку в полтора раза чаще.,Россия берет себя в руки.,0
"Сколько регионов n линий пересекают 2-D плоскость? Предположим, что ни одна из трех линий не пересекается в одной и той же точке, т.е. линии разделяются только парами?","Сколько регионов n линий разделят 2-D плоскость? Предположим, что три линии не пересекаются в одной и той же точке, т.е., линии пересекаются только в парах?",0
"Даниэль Бенезе (Daniel Benezet) был уроженцем Филадельфии, сыном Джона Бенизета, известного филадельфийского купеческого деятеля.","Джон Бенезет был уроженцем Филадельфии, сыном Даниэля Бенезет, видного купца Филадельфии.",0
"В 1697 году он был возвращен в Эйе в качестве члена парламента от вигов и заседал до 1713 года, когда был переизбран в Лимингтон.","В 1697 году он был возвращен в парламент в качестве члена от вигов Эйя, и он проработал там до 1713 года, когда его переизбрали на Лимингтон.",0
Жертвами теракта в ресторане в Могадишо стали не менее 10 человек,Пять человек стали жертвами камнепада в Китае,0
"""Нежелательных"" иностранцев будут высылать из России без суда.",Льготы не за компанию.,0
В 2015 году ЦБ планирует ввести в обращение 90 коллекционных монет,В 2015 году Банк России выпустит 90 коллекционных монет,1
"Когда мы скачиваем бесплатные приложения из магазинов Google, приложение просит разрешения для доступа к такой информации, как фото, контакты, и т.д. Как безопасно получить разрешение на использование?","Когда мы загружаем бесплатные приложения из магазинов Google, приложение просит разрешения на доступ к такой информации, как фото, контакты и т.д. Насколько безопасно получать разрешение на доступ?",1
"Женат на Виоле, преподавательнице Христианства и Искусства, с которой у него есть три дочери: Изабель, Оливия и Софи.","Джонс женат на Виоле - преподавательнице христианства и искусства. С ней у него есть три дочери - Софи, Оливия и Изабель.",0
В чем разница между размерами африканских львов и азиатских львов?,В чем разница в размерах между азиатскими и африканскими лисицами?,0
"""Робостанция"" откроется в Москве на ВДНХ",Сезон фонтанов откроется сегодня в Москве,0
"Любит ли Гермиона Рона больше, чем свою жизнь?","Рон любит Гермиону больше, чем ее собственную жизнь?",0
"Он живет со своей женой Синтией в Ридфилде, штат Коннектикут, и у него четверо детей: Джейсон, Хемсворт, Линдсей и Ребекка.","В настоящее время проживает в Риджафилде, штат Коннектикут, со своей женой Синтией. У него четверо детей: Линдсей, Хьюстон, Джейсон и Ребекка.",0
В Турции закончились массовые беспорядки.,Массовые беспорядки в Турции прекратились.,1
"Глава СБУ заявил, что в плену у ополченцев остаются около 300 человек",СБУ заявила о задержании ополченца из батальона «Сомали»,0
МЧС: возгорание в общежитии на юго-западе Москвы локализовано,Четыре человека пострадали при пожаре в общежитии на юго-западе Москвы,0
На Олимпиаде в Сочи выступит спортсмен с островов Тонга.,Фигуристы нарисуют состав.,0
"Каковы были основные последствия землетрясения в Камбодии, и как эти последствия можно сравнить с землетрясением в Перу в 1687 году?","Каковы были основные последствия землетрясения в Перу, и как эти последствия можно сравнить с землетрясением в Камбодии в 1687 году?",0
"Капитализация Московской биржи достигла $4,2 млрд в ходе IPO.","Московскую биржу в рамках IPO оценили в 4,2 миллиарда долларов.",1
"Восьмая Пенсильванская кавалерия прекратила существование 24 июля 1865 года, когда она была объединена с 16-й Пенсильванской кавалерией.","16-я Пенсильванская кавалерия прекратила своё существование 24 июля 1865 года, когда ее объединили с 8-й Пенсильванской кавалерией.",0
СК возбудил дело о мошенничестве при продаже участков Сиверского леса в Ленобласти.,В Казахстане арестовали за взятку «космического» чиновника.,0
Глава СКР возбудил уголовное дело в отношении бывшей федеральной судьи.,Что не так делил глава Роснедр.,0
"Большинство из них обосновались в Онтарио, а самая крупная община находилась в Торонто; за ней следуют общины в Гамильтоне, Лондоне и Кингстоне.","Большинство из них поселились в Онтарио, самая крупная община - в Торонто, за которой следуют Гамильтон, Лондон и Кингстон.",1
"Родившись в Йорке (Торонто) в 1799 году, вырос в Кингстоне.","Родившись в 1799 году в Кингстоне, Торонто, он вырос в Йорке.",0
Флинн Тауншип (Flynn Township) - гражданский городок округа Санилак (Sanilac County) в американском штате Мичиган.,Округ Санилак - гражданский город в тауншипе Флинн в американском штате Мичиган.,0
"Он умер в Онейде 20 февраля 1930 года и был похоронен на Кладбище Гленвуд в Олбани, Нью-Йорк.","Он умер 20 февраля 1930 года в Олбани, Нью-Йорк. Похоронен на кладбище Гленвуд в Онейде.",0
"В 1828 году Снайдер женился на Йоманс из Олбани, с которой у него были две дочери и трое сыновей.","Летиция Снайдер вышла замуж за Йоманса из Олбани в 1828 году, с которым у него были две дочери и трое сыновей.",1
В 1781 году Губернатор Виргинии Томас Джефферсон повысил Кларка в звании бригадного генерала и дал ему командование всеми милициями в графствах Кентукки и Иллинойс.,В 1781 году губернатор Виргинии Томас Джефферсон повысил Кларка до бригадного генерала и отдал ему приказы для всех милиций в графствах Кентукки и Иллинойс.,1
Высший суд Италии подтвердил тюремный срок С.Берлускони.,Верховный суд Италии подтвердил тюремный срок для Берлускони.,1
"Как вы говорите, говоря по-латыни?","Как вы говорите, чтобы говорить по-латыни?",0
Что я должен изучить для подготовки к экзаменам АП по макро- и микроэкономике?,"На чем мне учиться, чтобы подготовиться к макроэкономическому и микроэкономическому экзаменам АП?",1
Экс-руководителей Минсельхоза обвиняют в хищении 52 млн руб.,У Минсельхоза РФ похитили 52 миллиона рублей.,0
"Профессионально играл в Греции, России, Италии, Франции, Пуэрто-Рико, Португалии и Индонезии, выигрывая национальные чемпионаты в Индонезии и Греции.","Ли профессионально играл в Италии, России, Греции, Франции, Индонезии и Греции. Он побеждал в национальных чемпионатах Пуэрто-Рико, Португалии и Индонезии.",0
Еще одна экранизация оперы Карла Оге Расмуссена была опубликована в 2005 году и записана в 2006 году.,"Еще одна постановка оперы, Карла Оже Расмуссена, была опубликована в 2005 году и записана в 2006 году.",1
Встречается в Хайнане (Китай) и во Вьетнаме.,Оно встречается в Китае (Хайнан) и Вьетнаме.,1
"ObjecTime Developer (сокращенно ObjecTime или ObjecTime) - это инструмент автоматизации программного обеспечения, разработанный для удовлетворения потребностей команд разработчиков программного обеспечения в реальном времени.","ObjecTime Developer (или ObjecTime или ObjecTime, в реальном времени) - это инструмент автоматизации программного обеспечения, предназначенный для удовлетворения потребностей в разработке краткосрочных команд разработчиков программного обеспечения.",0
"Роберт Оуэн (1810 -1890), младший сын Ричарда Оуэна, приехал в Нью-Йорк в 1828 году и поначалу преподавал здесь в школе.","Ричард Оуэн (1810 - 1890), младший сын Роберта Оуэна, приехал в Нью-Йорк в 1828 году и преподавал там первую школу.",0
Нидерланды направляют спасателей в пострадавший от землетрясения Непал,Индия вывезла из пострадавшего от землетрясения Непала 1935 граждан,0
Во время русской войны (1787-92 гг.) Репнин - после Александра Суворова - был самым успешным из вторых турецких командующих.,"Во время второй турецкой войны (1787-92), по словам Александра Суворова, Репнин был самым успешным из русских военачальников.",0
"Железнодорожный вокзал Брингтон обслуживает Брингтон в восточной части Стокпорта, Большой Манчестер, Англия.","Железнодорожный вокзал Стокпорта, Greater Manchester, обслуживает Брайтингтон в восточной части Брайнингтона, Англия.",0
"Они были представлены в статьях The Wall Street Journal, The Milford Daily News, the Boston Globe и the Boston Herald.","Они фигурировали в статьях, опубликованных в газетах Milford Daily News, Wall Street Journal, The Boston Globe и The Boston Herald.",1
Клаудия остается между своими чувствами к Сандро и порванной дружбой с Анной.,Сандро продолжает разрываться между своими чувствами по отношению к Клаудии и дружбой с Анной.,0
"Чтобы проследить предысторию этих событий, прочитайте Историю Малайзии.","Чтобы прочитать о предыстории этих событий, посмотрите историю Малайзии.",1
"Музыка представляет собой альбом Unchanal Truth, опубликованный в 2001 году на лейбле Shifty Disco.","Альбом ""Misc. Music"" - песня Unboundy Truth, вышедшая в 2001 году на лейбле Shifty Disco.",0
"Лив встречается с Тайлером, и просит оставить ей ее брата, Тайлер приносит извинения и говорит ей, что он тоже старается смириться с новой реальностью.","Лив встречает Тайлера, и просит его оставить брата в покое. Тайлер извиняется и говорит ей, что он также пытается разобраться в новой реальности.",0
"Маккарти родился в Окланд, но переехал с родителями в Сан-Франциско, Калифорния, в возрасте четырех лет.","Маккарти родился в Сан-Франциско, Калифорния, но переехал в Аукленд со своими родителями в возрасте четырех лет.",0
В 1781 году губернатор Виргинии Томас Джефферсон повысил Кларка до бригадного генерала и дал ему командование всей милицией в округах Кентукки и Иллинойс.,В 1781 году губернатор Иллинойса Томас Джефферсон повысил Кларка до бригадного генерала и дал ему командование всей милицией в графствах Кентукки и Виргиния.,0
"Northamptonshire был избирательным округом графства Северный Нортгемптоншир, представленным в Палате общин британского парламента.","North Northamptonshire было округом Northamptonshire, представленным в Палате общин парламента Соединенного Королевства.",0
Река Ротунда (Rotunda) является притоком реки Пурул (Purul) в Румынии.,Река Ротунда (Rotunda) является притоком реки Пурул в Румынии.,1
"Дочь актера Раджеша, Ниведитха, замужем за актером Арджуном Сарджа","Дочь актера Раджеша, Ниведита замужем за актером Арджуном Сарджа.",1
Репетиция парада Победы началась в Донецке,В Донецке прошла репетиция Парада Победы ,1
Что мне нужно знать перед переездом с Манхэттена на Лонг-Айленд?,Что мне нужно знать до переезда с Лонг-Айленда в Манхэттен?,0
"В 2006 году, после смерти Пола Бриттона в декабре 2005 года, исполнительным директором был назначен Дэвид Нил (David Neale).",Пол Бриттон был назначен Главным исполнительным директором в декабре 2005 года после смерти Дэвида Нила.,0
"""Посетивший"" с топором судью защитник Pussy Riot признан невменяемым.",Напавший на судью сторонник Pussy Riot признан невменяемым.,1
Роджер Кирк родился в Норфолке и воспитывался и учился в Восточном Лондоне.,Роджер Кирк родился в Восточном Лондоне и был воспитан и воспитан в Норфолке.,0
"Какие маленькие фишки, которые вы знаете, дают вам большое преимущество перед большинством людей в определенных ситуациях?",Какие же известные тебе крупные хаки дают Вам небольшое преимущество над большинством людей в конкретных ситуациях?,0
"Диснеевский ""Ральф"" признан лучшей анимационной картиной года.",Лучшим мультфильмом года признали диснеевского «Ральфа».,1
"По данным переписи 2000 года, 36,4% имели финское происхождение, 10,2% - итальянское, 9,2 процентов - немецкое, 7,1 процента - шведское и 5,4 процента шотландское.","36,4% составляли финны, 10,2% итальянцы, 9,2% немцы, 7,1% шведы и 5,4% шотландцы, согласно переписи 2000 года.",1
"Бальдин жил в Вашингтоне. Роберт Бальдвин умер в 1977 году, а Хелен Бальдвин умерла 14 марта 1998 года от болезни Лоу Рига.","Балдвины жили в Вашингтоне, округ Колумбия Роберт Болдвин умер в 1977 году, а Хелен Балдуин умерла от болезни Лоу-Риг 14 марта 1998 года.",0
